"","Region","Catchment","Transect","Transect_code","LU_UF"
"1","STM","103",1,"103_1","AP"
"2","STM","103",2,"103_2","SFyoung"
"3","STM","103",3,"103_3","SFold"
"4","STM","103",4,"103_4","PA"
"5","STM","103",5,"103_5","SFyoung"
"6","STM","103",7,"103_7","AP"
"7","STM","103",8,"103_8","SFold"
"8","STM","103",9,"103_9","SFyoung"
"9","STM","112",1,"112_1","MA"
"10","STM","112",11,"112_11","MA"
"11","STM","112",12,"112_12","LF"
"12","STM","112",2,"112_2","FRU"
"13","STM","112",3,"112_3","SFold"
"14","STM","112",4,"112_4","SFyoung"
"15","STM","112",5,"112_5","PA"
"17","STM","112",7,"112_7","PA"
"18","STM","112",8,"112_8","LF"
"19","STM","112",9,"112_9","FRU"
"20","STM","125",10,"125_10","BF"
"21","STM","125",12,"125_12","MA"
"22","STM","125",2,"125_2","MA"
"23","STM","125",3,"125_3","PA"
"24","STM","125",5,"125_5","SFyoung"
"25","STM","125",6,"125_6","SFold"
"26","STM","125",8,"125_8","MA"
"27","STM","125",9,"125_9","LF"
"28","STM","129",10,"129_10","LBF"
"29","STM","129",11,"129_11","SFold"
"30","STM","129",12,"129_12","MA"
"33","STM","129",5,"129_5","LBF"
"35","STM","129",7,"129_7","PA"
"36","STM","129",8,"129_8","PA"
"37","STM","129",9,"129_9","MA"
"38","STM","157",1,"157_1","SFold"
"39","STM","157",11,"157_11","SHA"
"40","STM","157",2,"157_2","LBF"
"41","STM","157",3,"157_3","LBF"
"42","STM","157",4,"157_4","LF"
"43","STM","157",5,"157_5","LF"
"44","STM","157",6,"157_6","LF"
"45","STM","157",7,"157_7","PA"
"46","STM","157",8,"157_8","SFold"
"47","STM","160",10,"160_10","LF"
"48","STM","160",11,"160_11","SFold"
"49","STM","160",12,"160_12","MA"
"50","STM","160",5,"160_5","SFold"
"51","STM","160",8,"160_8","SFold"
"53","STM","165",1,"165_1","LBF"
"54","STM","165",2,"165_2","BF"
"55","STM","165",3,"165_3","BF"
"56","STM","165",4,"165_4","LBF"
"57","STM","165",5,"165_5","LBF"
"58","STM","165",6,"165_6","BF"
"59","STM","165",7,"165_7","LBF"
"61","STM","199",1,"199_1","MA"
"62","STM","199",2,"199_2","MA"
"63","STM","199",3,"199_3","LBF"
"64","STM","199",4,"199_4","SFyoung"
"65","STM","199",5,"199_5","PA"
"66","STM","199",6,"199_6","SFold"
"67","STM","199",8,"199_8","PA"
"68","STM","199",9,"199_9","SFold"
"69","STM","236",1,"236_1","MA"
"70","STM","236",2,"236_2","LBF"
"71","STM","236",3,"236_3","LBF"
"72","STM","236",4,"236_4","SFyoung"
"73","STM","236",5,"236_5","LF"
"74","STM","236",6,"236_6","LF"
"75","STM","236",7,"236_7","LF"
"76","STM","236",8,"236_8","PA"
"77","STM","236",9,"236_9","PA"
"78","STM","260",1,"260_1","LF"
"79","STM","260",10,"260_10","MA"
"80","STM","260",2,"260_2","SFold"
"81","STM","260",3,"260_3","LBF"
"82","STM","260",4,"260_4","LF"
"83","STM","260",5,"260_5","LBF"
"84","STM","260",6,"260_6","LF"
"85","STM","260",7,"260_7","MA"
"88","STM","261",1,"261_1","LF"
"89","STM","261",10,"261_10","UF"
"90","STM","261",11,"261_11","UF"
"91","STM","261",12,"261_12","LF"
"92","STM","261",2,"261_2","LF"
"93","STM","261",3,"261_3","LF"
"94","STM","261",4,"261_4","LF"
"95","STM","261",5,"261_5","LF"
"96","STM","261",6,"261_6","LF"
"97","STM","261",7,"261_7","LF"
"98","STM","261",8,"261_8","UF"
"99","STM","261",9,"261_9","UF"
"100","STM","307",1,"307_1","LBF"
"101","STM","307",10,"307_10","REF"
"103","STM","307",3,"307_3","LBF"
"105","STM","307",6,"307_6","AP"
"106","STM","307",7,"307_7","LBF"
"107","STM","307",9,"307_9","SFyoung"
"109","STM","357",10,"357_10","MA"
"110","STM","357",11,"357_11","PA"
"111","STM","357",2,"357_2","LBF"
"112","STM","357",3,"357_3","SFold"
"113","STM","357",4,"357_4","SFyoung"
"114","STM","357",5,"357_5","BF"
"115","STM","357",6,"357_6","SFyoung"
"116","STM","357",7,"357_7","PA"
"117","STM","357",8,"357_8","PA"
"118","STM","357",9,"357_9","SFyoung"
"119","STM","363",1,"363_1","BF"
"120","STM","363",2,"363_2","BF"
"121","STM","363",3,"363_3","UF"
"122","STM","363",4,"363_4","UF"
"123","STM","363",5,"363_5","UF"
"124","STM","363",6,"363_6","UF"
"125","STM","363",7,"363_7","UF"
"126","STM","363",8,"363_8","UF"
"127","STM","399",10,"399_10","LBF"
"128","STM","399",11,"399_11","SHA"
"129","STM","399",12,"399_12","SFyoung"
"130","STM","399",13,"399_13","PA"
"131","STM","399",3,"399_3","UF"
"132","STM","399",5,"399_5","LBF"
"133","STM","399",6,"399_6","LF"
"134","STM","399",7,"399_7","LF"
"135","STM","399",8,"399_8","SFyoung"
"136","STM","399",9,"399_9","UF"
"137","STM","69",1,"69_1","MA"
"138","STM","69",10,"69_10","SFold"
"139","STM","69",11,"69_11","LBF"
"140","STM","69",2,"69_2","SFold"
"141","STM","69",3,"69_3","PA"
"142","STM","69",4,"69_4","PA"
"143","STM","69",5,"69_5","SHA"
"144","STM","69",6,"69_6","SFyoung"
"145","STM","69",7,"69_7","PA"
"146","STM","69",8,"69_8","LF"
"147","STM","69",9,"69_9","REF"
"148","STM","81",1,"81_1","FRU"
"149","STM","81",10,"81_10","PA"
"150","STM","81",11,"81_11","SFold"
"152","STM","81",15,"81_15","LF"
"153","STM","81",2,"81_2","LBF"
"154","STM","81",3,"81_3","LBF"
"155","STM","81",6,"81_6","MA"
"156","STM","81",7,"81_7","SFold"
"157","STM","81",8,"81_8","PA"
"158","STM","81",9,"81_9","LBF"
"159","STM","99",10,"99_10","SFyoung"
"160","STM","99",11,"99_11","SFyoung"
"161","STM","99",2,"99_2","FRU"
"162","STM","99",3,"99_3","PA"
"163","STM","99",4,"99_4","SFyoung"
"164","STM","99",5,"99_5","PA"
"165","STM","99",6,"99_6","SFold"
"166","STM","99",7,"99_7","SFold"
"167","STM","99",8,"99_8","SFyoung"
"168","STM","99",9,"99_9","PA"
"175","PGM","100",10,"100_10","SFyoung"
"176","PGM","100",2,"100_2","SFyoung"
"177","PGM","100",3,"100_3","LBF"
"179","PGM","100",5,"100_5","LF"
"180","PGM","100",6,"100_6","LBF"
"183","PGM","100",9,"100_9","LBF"
"184","PGM","142",1,"142_1","LF"
"185","PGM","142",11,"142_11","PA"
"186","PGM","142",12,"142_12","LBF"
"187","PGM","142",13,"142_13","SFyoung"
"189","PGM","142",3,"142_3","LF"
"190","PGM","142",4,"142_4","LBF"
"191","PGM","142",5,"142_5","LF"
"192","PGM","142",6,"142_6","LBF"
"193","PGM","142",7,"142_7","PA"
"194","PGM","142",8,"142_8","PA"
"195","PGM","142",9,"142_9","PA"
"196","PGM","147",1,"147_1","LF"
"197","PGM","147",11,"147_11","LF"
"198","PGM","147",12,"147_12","PA"
"199","PGM","147",13,"147_13","SFyoung"
"201","PGM","147",2,"147_2","LBF"
"202","PGM","147",3,"147_3","LBF"
"203","PGM","147",4,"147_4","SFyoung"
"204","PGM","147",5,"147_5","LF"
"205","PGM","147",7,"147_7","LF"
"206","PGM","147",8,"147_8","LF"
"207","PGM","152",1,"152_1","SFold"
"208","PGM","152",10,"152_10","PA"
"209","PGM","152",11,"152_11","PA"
"210","PGM","152",12,"152_12","PA"
"211","PGM","152",2,"152_2","SFyoung"
"212","PGM","152",3,"152_3","SFyoung"
"213","PGM","152",4,"152_4","SFold"
"214","PGM","152",5,"152_5","PA"
"215","PGM","152",6,"152_6","SFold"
"216","PGM","152",7,"152_7","SFyoung"
"217","PGM","152",8,"152_8","SFyoung"
"218","PGM","152",9,"152_9","PA"
"219","PGM","202",1,"202_1","LBF"
"220","PGM","202",12,"202_12","PA"
"221","PGM","202",13,"202_13","LBF"
"222","PGM","202",14,"202_14","AP"
"223","PGM","202",2,"202_2","LBF"
"224","PGM","202",3,"202_3","MA"
"225","PGM","202",4,"202_4","REF"
"226","PGM","202",5,"202_5","PA"
"227","PGM","202",6,"202_6","MA"
"228","PGM","202",7,"202_7","PA"
"230","PGM","202",9,"202_9","PA"
"231","PGM","235",1,"235_1","LF"
"232","PGM","235",10,"235_10","PA"
"235","PGM","235",3,"235_3","LBF"
"236","PGM","235",4,"235_4","SFold"
"237","PGM","235",5,"235_5","SFyoung"
"238","PGM","235",6,"235_6","PA"
"239","PGM","235",7,"235_7","PA"
"240","PGM","235",8,"235_8","PA"
"241","PGM","245",1,"245_1","PA"
"242","PGM","245",11,"245_11","LBF"
"243","PGM","245",12,"245_12","PA"
"244","PGM","245",13,"245_13","PA"
"245","PGM","245",14,"245_14","PA"
"246","PGM","245",2,"245_2","LF"
"247","PGM","245",4,"245_4","LF"
"248","PGM","245",5,"245_5","LF"
"249","PGM","245",6,"245_6","LF"
"250","PGM","245",7,"245_7","SFyoung"
"252","PGM","245",9,"245_9","LF"
"253","PGM","269",1,"269_1","LBF"
"254","PGM","269",10,"269_10","LF"
"255","PGM","269",11,"269_11","LF"
"256","PGM","269",12,"269_12","PA"
"257","PGM","269",13,"269_13","PA"
"258","PGM","269",14,"269_14","PA"
"259","PGM","269",15,"269_15","PA"
"260","PGM","269",2,"269_2","LBF"
"261","PGM","269",4,"269_4","LF"
"262","PGM","269",6,"269_6","LBF"
"263","PGM","269",7,"269_7","LF"
"264","PGM","269",8,"269_8","LBF"
"265","PGM","274",1,"274_1","LBF"
"266","PGM","274",10,"274_10","PA"
"267","PGM","274",11,"274_11","MA"
"268","PGM","274",12,"274_12","MA"
"269","PGM","274",2,"274_2","LBF"
"270","PGM","274",3,"274_3","LF"
"271","PGM","274",4,"274_4","LBF"
"273","PGM","274",6,"274_6","LBF"
"274","PGM","274",7,"274_7","LBF"
"275","PGM","274",8,"274_8","LBF"
"276","PGM","274",9,"274_9","MA"
"277","PGM","315",1,"315_1","LBF"
"278","PGM","315",11,"315_11","LBF"
"279","PGM","315",2,"315_2","SFyoung"
"280","PGM","315",3,"315_3","LBF"
"281","PGM","315",4,"315_4","LBF"
"282","PGM","315",5,"315_5","LBF"
"283","PGM","315",6,"315_6","MA"
"284","PGM","315",7,"315_7","PA"
"285","PGM","315",8,"315_8","PA"
"286","PGM","315",9,"315_9","MA"
"287","PGM","342",1,"342_1","LF"
"288","PGM","342",10,"342_10","SFyoung"
"289","PGM","342",11,"342_11","SFyoung"
"290","PGM","342",12,"342_12","SFold"
"291","PGM","342",2,"342_2","LF"
"292","PGM","342",3,"342_3","LF"
"293","PGM","342",4,"342_4","LF"
"294","PGM","342",5,"342_5","LF"
"295","PGM","342",6,"342_6","LF"
"296","PGM","342",7,"342_7","LF"
"297","PGM","342",8,"342_8","LF"
"298","PGM","342",9,"342_9","LBF"
"303","PGM","358",3,"358_3","REF"
"304","PGM","358",4,"358_4","LF"
"305","PGM","358",5,"358_5","LBF"
"306","PGM","358",6,"358_6","REF"
"307","PGM","358",7,"358_7","REF"
"309","PGM","358",9,"358_9","REF"
"310","PGM","369",1,"369_1","LBF"
"311","PGM","369",10,"369_10","LF"
"312","PGM","369",11,"369_11","PA"
"313","PGM","369",12,"369_12","PA"
"314","PGM","369",13,"369_13","PA"
"315","PGM","369",3,"369_3","LF"
"316","PGM","369",4,"369_4","LF"
"317","PGM","369",5,"369_5","LBF"
"318","PGM","369",6,"369_6","LBF"
"319","PGM","369",7,"369_7","LF"
"320","PGM","369",8,"369_8","LF"
"321","PGM","423",1,"423_1","LBF"
"322","PGM","423",10,"423_10","MA"
"323","PGM","423",11,"423_11","MA"
"324","PGM","423",12,"423_12","MA"
"325","PGM","423",13,"423_13","REF"
"328","PGM","423",5,"423_5","LBF"
"329","PGM","423",6,"423_6","LBF"
"330","PGM","423",7,"423_7","LF"
"331","PGM","423",8,"423_8","REF"
"332","PGM","423",9,"423_9","LBF"
"334","PGM","44",12,"44_12","SFyoung"
"335","PGM","44",15,"44_15","PA"
"336","PGM","44",2,"44_2","LBF"
"337","PGM","44",3,"44_3","PA"
"338","PGM","44",4,"44_4","LBF"
"339","PGM","44",5,"44_5","LBF"
"340","PGM","44",6,"44_6","LBF"
"341","PGM","44",7,"44_7","PA"
"342","PGM","44",8,"44_8","PA"
"343","PGM","44",9,"44_9","SHA"
"344","PGM","443",1,"443_1","LBF"
"346","PGM","443",2,"443_2","LF"
"347","PGM","443",3,"443_3","PA"
"348","PGM","443",4,"443_4","LF"
"349","PGM","443",5,"443_5","PA"
"350","PGM","443",6,"443_6","PA"
"351","PGM","443",7,"443_7","PA"
"352","PGM","443",8,"443_8","PA"
"353","PGM","443",9,"443_9","PA"
"354","PGM","547",1,"547_1","LF"
"356","PGM","547",11,"547_11","PA"
"357","PGM","547",12,"547_12","PA"
"358","PGM","547",13,"547_13","PA"
"359","PGM","547",14,"547_14","PA"
"360","PGM","547",2,"547_2","LF"
"361","PGM","547",5,"547_5","LF"
"362","PGM","547",6,"547_6","PA"
"363","PGM","547",7,"547_7","PA"
"364","PGM","547",8,"547_8","REF"
"365","PGM","547",9,"547_9","PA"
"366","PGM","549",1,"549_1","UF"
"367","PGM","549",10,"549_10","UF"
"368","PGM","549",11,"549_11","LF"
"369","PGM","549",12,"549_12","UF"
"370","PGM","549",2,"549_2","UF"
"371","PGM","549",3,"549_3","UF"
"372","PGM","549",4,"549_4","LF"
"373","PGM","549",5,"549_5","UF"
"374","PGM","549",6,"549_6","UF"
"375","PGM","549",7,"549_7","UF"
"376","PGM","549",8,"549_8","UF"
"377","PGM","549",9,"549_9","LF"
