"Region","Catchment","Transect","Transect_code","LU_UF","ant_rich","bird_rich","db_rich","liana_rich","sap_rich","tree_rich","Aboveground_pool","Litter_pool","Dead_pool","Soil_pool_new","pH","Nperc","P","K","Na","CaMg","Al","foresttype1_1km","SILT_ALL","CLAY_ALL","ELEV_MEAN","SLOPE_MEAN","bee_rich"
"STM",103,2,"103_2","SFyoung",23,17,21,12,60,22,38.47250797,6.322680011,1.428901631,59.38,4.526666667,0.18,3.2,42.8,18,2.746666667,0.966666667,36.73826174,176.1333333,794.6666667,150.581,1.00192,NA
"STM",103,3,"103_3","SFold",35,45,23,7,44,38,78.75858696,4.408595554,9.899871276,63.49,3.846666667,0.19,4.733333333,31.26666667,16.66666667,0.893333333,2.606666667,38.77241728,146.2,818.6666667,170.672,2.23298,NA
"STM",103,4,"103_4","PA",32,30,11,0,0,0,0,0.66265069,1.027490757,54.09,4.58,0.17,3.466666667,33.26666667,16.53333333,1.806666667,1.246666667,25.78960458,165.7333333,813.3333333,168.124,2.40037,NA
"STM",103,5,"103_5","SFyoung",26,37,12,8,31,23,36.78408026,5.444015022,1.531471307,58.66,4.16,0.15,4.266666667,30.33333333,22.13333333,1.593333333,1.353333333,23.07883611,200.8,773.3333333,169.071,1.20009,NA
"STM",103,8,"103_8","SFold",37,50,21,5,59,43,106.4306665,5.274916237,4.577075494,63.29,4.033333333,0.2,2.933333333,40.8,20.2,1.506666667,2.193333333,21.29144852,165.7333333,813.3333333,172.263,2.184,NA
"STM",103,9,"103_9","SFyoung",41,31,11,1,8,0,0.70573043,2.15768,0,59.2,4.86,0.16,4.666666667,64.8,23.8,3.42,0.853333333,27.47882412,228.8666667,681.3333333,154.129,0.73445,NA
"STM",112,1,"112_1","MA",10,9,7,0,0,0,0,0,0,45.5,4.886666667,0.15,6.933333333,45.8,14.46666667,2.54,0.646666667,12.8243513,186.8,764,138.954,6.54554,NA
"STM",112,11,"112_11","MA",0,8,7,0,0,0,0,0,0,46.42,4.886666667,0.16,6.733333333,72.53333333,22.86666667,2.74,0.6,11.57580284,168.2,801.3333333,131.523,0.275105,NA
"STM",112,12,"112_12","LF",23,62,20,8,43,60,122.0910718,4.425263227,13.69880118,56.02,3.933333333,0.18,3.866666667,24.13333333,14.4,1.2,1.646666667,62.50309176,137.2,800,139.031,1.76476,NA
"STM",112,3,"112_3","SFold",22,50,18,16,56,37,64.90449501,5.233171076,11.14414826,59.15,4.326666667,0.19,2.333333333,19.93333333,9.466666667,2.246666667,0.926666667,37.39151996,117.8,797.3333333,163.412,4.02261,NA
"STM",112,4,"112_4","SFyoung",30,36,10,1,16,1,5.884654663,1.58056,13.10279236,63.8,4.806666667,0.2,2.533333333,35.73333333,11.8,3.293333333,0.673333333,9.269872913,147.9333333,792,143.894,4.92614,NA
"STM",112,5,"112_5","PA",14,10,5,0,0,0,0,0,4.28319844,52.51,4.646666667,0.15,2.2,25.8,13.66666667,1.746666667,0.98,26.74302789,128.6666667,829.3333333,151.944,4.00873,NA
"STM",112,7,"112_7","PA",16,31,8,0,0,0,0,0,0,58.5,6.4,0.17,14.73333333,103.2666667,47.2,6.626666667,0.093333333,21.71855542,253.5333333,653.3333333,147.27,2.02732,NA
"STM",112,8,"112_8","LF",23,44,21,15,70,83,122.3756224,5.581802964,29.73722218,66.85,3.813333333,0.18,5.666666667,27.06666667,17.6,1.026666667,2.26,49.04904905,129.2666667,818.6666667,143.448,10.3262,NA
"STM",125,12,"125_12","MA",8,6,4,0,0,0,0,2.06332,0,46.85,5.166666667,0.14,8.2,58.33333333,24.4,4.046666667,0.326666667,3.112549801,218.8,768,130.824,2.05885,NA
"STM",125,2,"125_2","MA",16,12,8,0,0,0,0,0,0,49.37,4.933333333,0.17,6.266666667,28,13.26666667,3.493333333,0.413333333,3.306812531,434.8666667,546.6666667,142.3,0.485776,NA
"STM",125,3,"125_3","PA",30,34,9,0,0,0,0,2.18804,0,58.4,4.36,0.17,3.866666667,32.26666667,23.06666667,1.593333333,1.093333333,17.75956284,175.2,802.6666667,103.672,5.49483,NA
"STM",125,5,"125_5","SFyoung",22,43,23,10,40,23,39.33808535,6.220889148,2.767789397,52.49,4.433333333,0.18,2.133333333,21.2,10.4,2.14,1.28,12.75167785,241,718.6666667,118.365,4.09188,NA
"STM",125,6,"125_6","SFold",14,25,26,9,62,28,41.49817367,4.986875554,3.240421725,47.65,4.546666667,0.16,2.4,17.73333333,9.866666667,2.506666667,0.92,22.52925068,256.6666667,718.6666667,136.046,1.23544,NA
"STM",125,8,"125_8","MA",10,7,7,0,0,0,0,0,0,42.19,4.646666667,0.14,5.066666667,47.73333333,25.93333333,2.926666667,0.593333333,45.02982107,187.8,794.6666667,146.661,1.77297,NA
"STM",125,9,"125_9","LF",16,39,19,16,77,71,93.68575089,6.991841923,35.71634877,50.13,4.04,0.17,4.4,30.06666667,15.6,1.613333333,1.786666667,58.4,119.0666667,825.3333333,154.137,3.21726,NA
"STM",129,10,"129_10","LBF",26,32,21,7,46,31,54.76632258,4.403568018,6.529671067,58.35,4.34,0.19,2.933333333,24.93333333,16.33333333,1.966666667,1.226666667,27.31332176,143.1333333,794.6666667,112.97,3.17764,NA
"STM",129,11,"129_11","SFold",30,32,23,4,47,27,57.8686274,5.398307611,5.403745137,60.59,4.6,0.16,2.733333333,24.8,20.26666667,2.426666667,1.333333333,43.68787276,180.4,754.6666667,119.922,3.72949,NA
"STM",129,12,"129_12","MA",6,6,9,0,0,0,0,0,0,53.35,5.08,0.15,5.133333333,51.93333333,20.86666667,3.9,0.4,25.35421327,221.3333333,725.3333333,129.683,2.78649,NA
"STM",129,5,"129_5","LBF",22,48,30,17,47,50,71.05444372,5.48533069,11.03133747,41.32,4.073333333,0.14,4,16.26666667,6.933333333,1.14,1.526666667,41.35787118,150.8,582.6666667,96.7326,6.34254,NA
"STM",129,7,"129_7","PA",22,11,14,0,0,0,0,0,0,53.04,5.88,0.12,12.06666667,41.53333333,18.2,5.94,0.113333333,17.41839023,89.46666667,198.6666667,73.2265,1.55525,NA
"STM",129,8,"129_8","PA",16,21,16,0,0,0,0,0,0,39.82,4.513333333,0.13,3.333333333,24.93333333,13.8,1.413333333,1.006666667,26.24411983,128.6666667,312,77.9359,5.62945,NA
"STM",129,9,"129_9","MA",12,10,12,0,0,0,0,2.11668,0,54.66,5.22,0.18,7.6,27.13333333,9.8,3.26,0.64,38.78550441,190.7333333,726.6666667,113.566,3.14546,NA
"STM",157,1,"157_1","SFold",32,52,16,14,61,70,155.7970171,6.425861296,81.82427616,51.83,4.086666667,0.17,2.866666667,34.8,15.4,1.26,1.633333333,88.77018634,151,812,153.608,5.14636,NA
"STM",157,2,"157_2","LBF",28,41,19,13,88,68,70.31530112,4.577891682,22.3855186,45.84,4.086666667,0.14,2.333333333,30.46666667,14.4,1.893333333,1.393333333,65.38270378,172.9333333,720,131.324,4.7682,NA
"STM",157,3,"157_3","LBF",19,47,20,19,70,79,134.997054,5.076615067,23.52387287,56.12,4.12,0.23,2.2,23.2,11.4,1.566666667,1.633333333,84.5314824,209.9333333,765.3333333,150.398,3.76994,NA
"STM",157,4,"157_4","LF",31,53,23,10,52,58,227.3680304,5.844778797,10.48913978,49.7,3.92,0.16,5.2,33.4,29,0.66,1.64,96.14903726,174.9333333,798.6666667,130.009,7.96621,NA
"STM",157,5,"157_5","LF",28,47,26,13,94,72,137.8188378,6.191115255,30.49652244,55.57,3.92,0.17,3.466666667,29.93333333,18.4,0.8,2.193333333,99.34967484,155.2666667,822.6666667,163.361,3.09304,NA
"STM",157,6,"157_6","LF",26,20,19,18,62,62,188.7960043,8.073065469,5.013260628,59.49,3.72,0.19,2.666666667,23.46666667,15.73333333,0.686666667,2.326666667,88.95552224,203,758.6666667,118.648,1.22847,NA
"STM",157,7,"157_7","PA",33,30,4,0,0,1,0.074292288,0,0,54.58,4.826666667,0.16,3.866666667,43.8,30.4,2.646666667,0.4,31.30759651,142.5333333,800,115.952,5.42573,NA
"STM",157,8,"157_8","SFold",21,55,19,5,50,54,92.03300593,5.645136196,4.361423051,45.68,3.92,0.15,2.8,34.86666667,13.33333333,0.833333333,1.94,68.37371971,184.7333333,585.3333333,97.4895,11.801,NA
"STM",160,10,"160_10","LF",17,38,35,8,31,63,164.0334409,4.171221118,4.173844907,52.19,3.835714286,0.18,4.933333333,25.73333333,30.86666667,0.753333333,1.613333333,96.01593625,164.1333333,806.6666667,189.437,1.08097,NA
"STM",160,11,"160_11","SFold",14,26,22,9,54,31,48.21105548,5.352747435,8.248131362,67.97,4.82,0.22,4.266666667,40.73333333,16.93333333,3.473333333,0.626666667,18.26563668,189.3333333,598.6666667,119.415,9.40989,NA
"STM",160,12,"160_12","MA",4,8,6,0,0,0,0,1.30008,0,55.63,4.98,0.15,9.466666667,58,31.06666667,3.233333333,0.766666667,9.970089731,225.9285714,657.1428571,103,7.83555,NA
"STM",160,5,"160_5","SFold",19,44,26,4,50,28,63.6202492,4.198552182,8.451487992,54.06,4.353333333,0.16,2.4,26.8,15.33333333,2.013333333,1.286666667,46.370666,192.1333333,653.3333333,125.93,4.743,NA
"STM",160,8,"160_8","SFold",20,48,24,5,33,41,91.59730369,4.395294264,7.391004868,54.31,4.066666667,0.15,3.133333333,32.13333333,22.86666667,1.1,1.466666667,48.32381425,112.7333333,721.3333333,123.607,6.12149,NA
"STM",165,1,"165_1","LBF",20,36,10,10,47,31,66.05097633,3.905290411,11.25264309,34.66,4.14,0.07,5.2,19.06666667,12.8,0.493333333,1.446666667,81.86580195,39.13333333,56,60.9728,8.74916,NA
"STM",165,4,"165_4","LBF",26,48,20,14,48,52,212.6774805,6.068536666,9.792321457,50.3,3.88,0.07,5.4,30.33333333,16.73333333,0.513333333,2.386666667,95.11044924,77.26666667,400,125.295,19.0908,NA
"STM",165,5,"165_5","LBF",25,45,15,9,52,55,272.3430088,4.08921076,11.67582491,104.9,4.02,0.26,4.466666667,28.53333333,15.66666667,0.473333333,3.326666667,97.36971485,193.8666667,769.3333333,163.782,3.58646,NA
"STM",165,7,"165_7","LBF",24,49,25,16,63,48,92.23580534,4.562982538,10.97900385,24.16,4.2,0.1,3.8,19.2,12.73333333,0.5,1.406666667,98.65303068,58.92857143,120,48.0721,7.71986,NA
"STM",199,1,"199_1","MA",19,30,14,0,0,0,0,0,0,32.17,4.353333333,0.11,6.333333333,35.06666667,12.6,1.173333333,1.44,12.23932473,81.2,382.6666667,59.6103,1.84212,NA
"STM",199,3,"199_3","LBF",35,54,26,8,56,67,93.15160564,6.443959318,36.2781659,33.85,3.906666667,0.1,5.133333333,24.13333333,11.6,0.733333333,1.866666667,60.58339566,94.4,356,117.489,7.2289,NA
"STM",199,4,"199_4","SFyoung",19,35,11,0,7,2,3.126934911,3.34296,0.640737468,36.81,4.54,0.14,4.133333333,31.46666667,14,1.533333333,1.133333333,34.09599602,143.6,673.3333333,72.313,5.1538,NA
"STM",199,5,"199_5","PA",22,38,11,0,0,1,0.389686828,0,0.064397814,39.39,4.653333333,0.1,1.133333333,25.93333333,10.8,1.873333333,0.82,17.69537083,112.2666667,376,68.2165,1.90142,NA
"STM",199,6,"199_6","SFold",27,44,20,11,41,39,69.62019735,5.744358642,5.511125006,53.85,3.86,0.14,1.733333333,24.13333333,15.66666667,0.706666667,2.066666667,44.95024876,190.7333333,708,94.8939,4.13151,NA
"STM",199,8,"199_8","PA",14,40,13,0,1,0,0.150718121,3.997410544,1.489140866,32.76,4.726666667,0.09,2.8,33.46666667,13.2,1.64,0.773333333,28.94082546,208.2,290.6666667,60.5102,2.92196,NA
"STM",199,9,"199_9","SFold",28,46,22,12,55,40,74.70239381,6.697987602,4.028928772,42.23,3.953333333,0.12,3.8,18,12.86666667,0.973333333,1.46,37.45299574,115.5333333,482.6666667,62.0541,3.59753,NA
"STM",236,1,"236_1","MA",15,13,7,0,0,0,0,3.37596,0,65.57,5.213333333,0.13,5.466666667,75.66666667,26.66666667,3.966666667,0.82,36.83818046,198.9333333,754.6666667,132.781,3.26998,NA
"STM",236,2,"236_2","LBF",27,49,24,6,51,40,163.1393118,5.274374817,46.07428502,50.35,3.906666667,0.13,3.533333333,29.53333333,17,0.586666667,2.44,60.36615537,139.6666667,689.3333333,115.576,3.88595,NA
"STM",236,3,"236_3","LBF",41,53,25,10,52,60,266.2345872,5.402821781,12.94334684,57.4,4.426666667,0.17,3.533333333,37.26666667,20.33333333,0.586666667,1.993333333,54.44582814,152.4,672,72.5826,5.26275,NA
"STM",236,4,"236_4","SFyoung",26,32,11,2,45,11,35.57615939,6.517832694,53.43726347,62.27,4.173333333,0.15,3.6,33.2,13.13333333,0.873333333,2.04,34.32835821,184.6666667,742.6666667,105.582,3.82184,NA
"STM",236,5,"236_5","LF",41,34,28,16,46,71,142.7673695,5.071563697,7.971544225,47.73,3.92,0.15,2.2,25,16.8,0.846666667,2.153333333,56.83950617,124.2666667,477.3333333,80.1501,4.41241,NA
"STM",236,6,"236_6","LF",42,53,25,11,52,62,163.8530236,6.247537547,42.02023588,52.57,4.213333333,0.16,4,31.73333333,18.6,0.786666667,2.34,83.98709037,140.8666667,774.6666667,127.488,4.56529,NA
"STM",236,7,"236_7","LF",37,60,23,8,49,64,135.9131821,3.583122379,43.27433441,52,4.006666667,0.11,4.2,26,14.33333333,0.466666667,1.786666667,96.16247197,86.46666667,402.6666667,78.5996,5.8322,NA
"STM",236,8,"236_8","PA",11,26,9,0,0,0,0,0,0,67.89,4.52,0.15,3.466666667,67.53333333,37.93333333,1.68,1.013333333,82.30750062,198.2,740,125.433,10.849,NA
"STM",236,9,"236_9","PA",19,37,8,0,0,0,0,0,0,41.38,5.18,0.15,1.133333333,55.33333333,17.13333333,1.893333333,0.586666667,69.39182453,100.2,406.6666667,49.6381,7.55101,NA
"STM",260,1,"260_1","LF",23,58,21,16,85,74,159.2814961,7.257671835,24.94997739,54.81,3.9,0.15,3.266666667,25,11.13333333,0.88,2.226666667,65.81047382,153.8,777.3333333,125.662,5.70416,NA
"STM",260,10,"260_10","MA",42,2,7,0,0,0,0,2.26976,0,44.32,5.38,0.15,4.133333333,42.86666667,14.86666667,3.9,0.293333333,30.91498379,190.8,728,99.4145,4.78113,NA
"STM",260,2,"260_2","SFold",24,63,27,11,48,48,59.25063761,6.620181585,10.3328587,52.12,4.1,0.16,3.933333333,24.33333333,16,0.986666667,1.166666667,63.44673454,105.6,425.3333333,75.1436,6.85284,NA
"STM",260,3,"260_3","LBF",24,43,30,10,52,53,195.9981787,6.356982424,46.89077261,59.7,3.88,0.2,5,26.2,14.13333333,0.973333333,2.4,44.67766117,148.8666667,674.6666667,136.276,5.09062,NA
"STM",260,4,"260_4","LF",22,55,34,22,59,71,184.3160949,7.588621534,7.87880957,63.46,3.74,0.15,2.466666667,38.86666667,23.13333333,0.666666667,2.953333333,93.87602689,176.0666667,746.6666667,104.781,4.4599,NA
"STM",260,5,"260_5","LBF",32,43,25,6,51,50,137.7634921,5.814056766,19.31876724,61.31,4.073333333,0.18,3.4,20.66666667,12.73333333,1.06,2.173333333,57.12166172,223.6,720,106.83,4.38874,NA
"STM",260,6,"260_6","LF",21,49,30,13,65,73,141.0063299,7.319502965,21.42897829,50.3,3.793333333,0.12,3.4,22.46666667,18,0.693333333,1.613333333,42.58982036,140.2666667,522.6666667,89.3481,3.28003,NA
"STM",260,7,"260_7","MA",31,9,15,0,0,0,0,0,0,40.14,4.653333333,0.12,8.8,47.93333333,15,2.106666667,0.873333333,4.053717981,154.8,526.6666667,86.4105,2.84915,NA
"STM",261,1,"261_1","LF",10,34,13,17,71,79,155.4583937,5.467006216,3.827109197,44.75,3.906666667,0.16,4,18.8,15.73333333,0.62,1.526666667,98.50262041,45.06666667,221.3333333,148.573,7.7849,NA
"STM",261,10,"261_10","UF",18,52,23,10,66,60,147.2392627,5.214163951,17.18530198,59.34,3.913333333,0.2,5.866666667,31.26666667,18.13333333,0.86,2.773333333,97.44923229,147.4666667,814.6666667,143.922,1.40719,NA
"STM",261,11,"261_11","UF",13,42,19,7,50,62,204.4774483,7.172642565,10.04046894,54.75,3.8,0.14,2.8,36.86666667,20.33333333,0.62,2.593333333,100,146.8666667,813.3333333,153.728,5.92509,NA
"STM",261,12,"261_12","LF",22,56,19,2,52,65,131.7673506,5.136706404,24.63085422,60.59,3.753333333,0.19,4.133333333,24.46666667,16.53333333,0.806666667,2.733333333,100,195.4666667,793.3333333,194.743,0.242953,NA
"STM",261,2,"261_2","LF",18,47,15,11,68,84,118.218652,7.324091555,18.82655698,48.92,3.806666667,0.14,3.866666667,26.66666667,15.86666667,0.606666667,2.16,99.85011242,125,560,148.176,4.16037,NA
"STM",261,3,"261_3","LF",9,34,33,15,58,68,161.6487497,5.849906683,32.98634776,61.42,4.06,0.17,6.333333333,39.93333333,22.53333333,0.88,2.433333333,99.85093168,173.9333333,689.3333333,192.149,1.3746,NA
"STM",261,4,"261_4","LF",16,54,20,14,57,68,142.2371237,4.525055581,30.4614798,57.42,3.886666667,0.2,2.466666667,22,13,1.066666667,2.373333333,100,136.6,852,190.724,1.09299,NA
"STM",261,5,"261_5","LF",18,49,27,9,71,64,210.9035206,8.055622437,10.03591638,62.64,3.806666667,0.2,4.866666667,37,27.66666667,0.753333333,2.733333333,100,140.2,848,191.421,0.662045,NA
"STM",261,6,"261_6","LF",15,49,19,9,74,73,220.1527573,7.31729249,18.14928239,53.14,3.646666667,0.15,6.133333333,28.4,12.8,0.66,2.766666667,99.90140498,135.6,834.6666667,179.093,1.24152,NA
"STM",261,7,"261_7","LF",37,50,22,12,43,69,160.7727909,7.049480887,17.9149151,62.85,3.753333333,0.23,3.666666667,21.8,12.13333333,0.566666667,2.813333333,100,128,856,195.881,0.363493,NA
"STM",261,8,"261_8","UF",15,53,20,19,64,72,143.0119287,7.495643681,14.05292282,58.58,3.76,0.19,2,25.26666667,17.4,0.733333333,2.386666667,99.79989995,195.2666667,774.6666667,170.925,1.91611,NA
"STM",261,9,"261_9","UF",16,43,23,15,66,81,170.4564491,5.432000764,17.23384406,52.96,3.706666667,0.2,3.4,26.2,14.6,0.66,2.606666667,99.62518741,148.6666667,824,139.344,3.2722,NA
"STM",307,1,"307_1","LBF",25,57,19,20,88,79,222.1064624,5.746526764,11.7581168,47.52,3.82,0.14,3.8,27.66666667,16.2,0.78,1.54,98.83490332,143.1428571,620,104.489,5.83418,NA
"STM",307,3,"307_3","LBF",27,36,16,2,49,45,80.6823349,6.108470737,30.28625244,48.61,3.993333333,0.11,3.6,17,7.333333333,0.92,1.166666667,98.69641514,130.4666667,352,160.801,5.58839,NA
"STM",307,7,"307_7","LBF",26,52,13,6,72,55,147.2007417,4.403626289,16.61729932,39.78,3.906666667,0.13,3.466666667,19.93333333,15.73333333,0.766666667,1.813333333,86.84603886,95.6,389.3333333,100.407,4.12903,NA
"STM",307,9,"307_9","SFyoung",8,48,10,0,21,4,36.18669774,7.518257954,47.56430761,33.58,4.293333333,0.11,5.733333333,37.33333333,22.66666667,1.153333333,0.926666667,98.6318408,103.2,184,146.37,5.62458,NA
"STM",357,10,"357_10","MA",8,7,3,0,0,0,0,3.16176,0,58.56,4.42,0.14,5.2,48.26666667,21,2.606666667,0.953333333,46.45257655,145.2,738.6666667,125.938,4.34932,NA
"STM",357,11,"357_11","PA",26,16,11,0,0,0,0,1.81236,0,38.94,4.966666667,0.1,3.066666667,37.4,14.6,1.873333333,0.66,20.66383828,109.2,386.6666667,102.206,4.84081,NA
"STM",357,2,"357_2","LBF",19,64,30,3,47,50,100.074686,4.928843252,31.65286374,74.25,3.913333333,0.18,2.733333333,23.8,13.2,1.12,1.98,66.70798215,175.5333333,754.6666667,158.471,5.83096,NA
"STM",357,3,"357_3","SFold",17,43,24,6,32,25,43.20568587,6.372410542,5.694140228,77.24,4.386666667,0.2,1.933333333,28.8,17.13333333,2.006666667,1.26,57.86210317,147.1333333,820,135.478,6.54609,NA
"STM",357,4,"357_4","SFyoung",20,40,9,6,18,13,19.57673746,5.679428701,4.770437102,25.35,4.286666667,0.04,2.533333333,17.33333333,12.26666667,0.826666667,0.713333333,67.3282064,39.06666667,88,71.0733,2.97888,NA
"STM",357,6,"357_6","SFyoung",NA,54,21,8,38,20,31.21315803,4.407526408,1.922817383,37.39,4.426666667,0.08,1.533333333,17.93333333,10.86666667,0.726666667,0.926666667,46.2478185,102.8666667,134.6666667,113.335,8.32992,NA
"STM",357,7,"357_7","PA",26,26,7,0,0,0,0,1.380679412,3.891108854,47.36,5.246666667,0.11,1.066666667,37.33333333,15.86666667,1.94,0.513333333,27.14143426,275.7333333,534.6666667,84.484,4.51263,NA
"STM",357,8,"357_8","PA",26,18,14,0,0,0,0,1.074857597,2.440636305,27.41,5.26,0.06,1.466666667,27.13333333,11.73333333,1.38,0.406666667,19.66110142,53.66666667,81.33333333,113.434,5.66824,NA
"STM",357,9,"357_9","SFyoung",NA,38,23,8,40,24,38.01141849,5.719546246,11.59555569,50.49,4.553333333,0.12,3.733333333,21,15.13333333,1.433333333,1.02,30.07705692,113.8,465.3333333,115.349,14.9379,NA
"STM",363,3,"363_3","UF",30,49,23,19,71,70,242.329592,6.454612667,12.40357387,51.72,3.793333333,0.11,2.733333333,20.66666667,14.26666667,0.733333333,1.573333333,100,81.86666667,396,132.133,4.55678,NA
"STM",363,4,"363_4","UF",19,41,32,21,60,68,144.3132673,5.738959937,24.39175157,59.13,3.806666667,0.15,5.533333333,28.06666667,14,0.86,1.546666667,100,108.7333333,430.6666667,185.135,3.18624,NA
"STM",363,5,"363_5","UF",36,53,23,16,65,75,130.9971706,6.822168037,17.72881857,30.58,3.953333333,0.08,2.533333333,20.93333333,15.6,0.926666667,0.953333333,100,46.8,173.3333333,170.423,8.03749,NA
"STM",363,6,"363_6","UF",31,70,36,17,60,62,204.0105044,6.924092709,17.94720516,63.59,3.626666667,0.15,4.066666667,30,14.93333333,0.78,2.366666667,100,120.4666667,776,177.92,4.94213,NA
"STM",363,7,"363_7","UF",22,60,29,8,67,60,215.2091813,7.044648958,24.7542561,59.78,4.086666667,0.15,2.533333333,30.33333333,18.46666667,0.793333333,2.353333333,100,169.2666667,721.3333333,162.665,5.63496,NA
"STM",363,8,"363_8","UF",21,46,37,3,46,63,302.5864687,8.817756634,12.04147588,57.55,3.793333333,0.15,2.533333333,20,13.66666667,0.84,1.746666667,100,133.6666667,569.3333333,196.198,4.01276,NA
"STM",399,10,"399_10","LBF",19,47,26,15,75,48,86.16572201,8.081404555,34.05876919,25.29,4.22,0.07,6.333333333,16.46666667,13.26666667,0.466666667,1.006666667,74.78282452,40.66666667,85.33333333,153.742,5.10344,NA
"STM",399,12,"399_12","SFyoung",16,23,6,6,21,3,10.6703906,5.423909935,0.129319185,54.08,4.693333333,0.13,1,22.06666667,10.46666667,1.993333333,0.833333333,72.2415507,165,422.6666667,162.005,4.66275,NA
"STM",399,13,"399_13","PA",32,29,15,0,4,1,6.488322255,2.739802814,6.759702638,31.31,4.853333333,0.09,1.4,8.533333333,6,1.48,0.553333333,52.78745645,39.6,98.66666667,141.862,3.86412,NA
